Group,Soft Cap Period,User cost center name,Billing code - description,B/W print (A4),B/W copy (A4),Color print (A4),Color copy (A4),One Color print (A4),One Color copy (A4),One Color print (A3),One Color copy (A3),Local B/W print (A4),Local color print (A4),B/W print (A3),B/W copy (A3),Color print (A3),Color copy (A3),Local copy (A4),B/W A3,Color A3,B/W A4,Color A/4,B/W pages,Color pages,Total
Student,AY 22-23, 1st,affiliate,degree,27,0,2033,0,0,0,0,0,0,0,0,0,31,0,0,0,31,27,2033,27,2064,2091
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2072,0,2072,0,2072
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1399,14,157,495,0,0,0,0,0,0,0,0,1,0,0,0,1,1413,652,1413,653,2066
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1044,17,950,2,0,0,0,0,0,0,0,0,16,0,0,0,16,1061,952,1061,968,2029
Student,AY 22-23, 1st,student,degree,621,0,1383,0,0,0,0,0,0,0,1,0,3,0,0,1,3,621,1383,622,1386,2008
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,2007,0,2007
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1807,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,183,1807,183,1990
Staff,AY 22-23, 1st,affiliate,contractor,167,478,1128,186,0,0,0,0,0,0,0,0,21,2,0,0,23,645,1314,645,1337,1982
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1186,37,731,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,741,1223,741,1964
Student,AY 22-23, 1st,student,degree,1921,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,14,1921,14,1935
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1680,0,242,0,0,0,0,0,0,0,6,0,0,0,0,6,0,1680,242,1686,242,1928
Staff,AY 22-23, 1st,affiliate,administrator,1733,2,88,12,0,0,0,0,0,0,48,0,36,0,0,48,36,1735,100,1783,136,1919
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,816,987,0,17,0,0,0,0,0,0,0,57,0,38,0,57,38,1803,17,1860,55,1915
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1527,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,379,1527,379,1906
Student,AY 22-23, 1st,student,degree,1499,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,407,1499,407,1906
Staff,AY 22-23, 1st,affiliate,contractor,234,345,931,304,0,0,0,0,0,0,13,12,32,11,0,25,43,579,1235,604,1278,1882
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1220,660,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1880,0,1882,0,1882
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1418,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,460,1418,460,1878
Staff,AY 22-23, 1st,affiliate,administrator,1579,1,281,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,283,1580,283,1863
Others,AY 22-23, 1st,affiliate,employee_family_member,270,0,1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1577,270,1577,1847
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1674,9,81,0,0,0,0,0,0,0,15,0,46,0,0,15,46,1683,81,1698,127,1825
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1394,0,338,0,0,0,0,0,0,0,41,0,0,0,0,41,0,1394,338,1435,338,1773
Others,AY 22-23, 1st,student,--Unknown billing code--,1407,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,346,1407,346,1753
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,475,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,1266,475,1266,1741
Staff,AY 22-23, 1st,affiliate,contractor,4,60,193,1418,0,0,0,0,0,0,0,1,46,8,0,1,54,64,1611,65,1665,1730
Student,AY 22-23, 1st,affiliate,student_applicant,496,0,1213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,496,1214,496,1214,1710
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1517,4,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,188,1521,188,1709
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1482,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,219,1482,219,1701
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1439,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439,259,1439,259,1698
Student,AY 22-23, 1st,student,degree,119,1,1487,59,0,0,0,0,0,0,0,23,0,2,0,23,2,120,1546,143,1548,1691
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,328,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,1360,328,1360,1688
Staff,AY 22-23, 1st,affiliate,ad_contingent,256,2,1418,2,0,0,0,0,0,0,0,0,0,0,0,0,0,258,1420,258,1420,1678
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1171,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,487,1171,487,1658
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1340,10,74,234,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,308,1350,308,1658
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1579,0,0,2,0,0,0,0,0,0,73,1,0,0,0,74,0,1579,2,1653,2,1655
Faculty & Researcher,AY 22-23, 1st,affiliate,adjunct faculty,1532,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646,0,1646,0,1646
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1312,46,149,93,0,0,0,0,0,0,28,0,3,1,0,28,4,1358,242,1386,246,1632
Faculty & Researcher,AY 22-23, 1st,student,researcher,1528,8,89,0,0,0,0,0,0,0,0,0,0,7,0,0,7,1536,89,1536,96,1632
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1534,60,1,5,0,0,0,0,0,0,0,12,0,2,0,12,2,1594,6,1606,8,1614
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1074,386,57,93,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,150,1460,150,1610
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,365,1173,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,67,1538,67,1605
Staff,AY 22-23, 1st,affiliate,prospective_employee,1360,65,166,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,178,1425,178,1603
Others,AY 22-23, 1st,affiliate,--Unknown billing code--,331,46,198,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,377,1216,377,1216,1593
Staff,AY 22-23, 1st,affiliate,contractor,0,0,0,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583,0,1583,1583
Student,AY 22-23, 1st,student,degree,1141,0,427,0,0,0,0,0,0,0,0,0,12,0,0,0,12,1141,427,1141,439,1580
Student,AY 22-23, 1st,student,degree,940,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,636,940,636,1576
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1564,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565,4,1565,4,1569
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552,0,1552,0,1552
Student,AY 22-23, 1st,student,degree,1531,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,1531,0,1552,0,1552
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,452,198,606,185,0,0,0,0,0,0,35,14,37,18,0,49,55,650,791,699,846,1545
Student,AY 22-23, 1st,student,degree,1534,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,5,1534,5,1539
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1535,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,1,1535,1,1536
Staff,AY 22-23, 1st,affiliate,contractor,955,63,315,136,0,0,0,0,0,0,29,0,22,6,0,29,28,1018,451,1047,479,1526
Faculty & Researcher,AY 22-23, 1st,affiliate,adjunct faculty,798,44,680,1,0,0,0,0,0,0,0,1,0,0,0,1,0,842,681,843,681,1524
Staff,AY 22-23, 1st,affiliate,administrator,181,0,1325,1,0,0,0,0,0,0,0,0,9,0,0,0,9,181,1326,181,1335,1516
Staff,AY 22-23, 1st,affiliate,contractor,128,8,1026,312,0,0,0,0,0,0,3,0,26,0,0,3,26,136,1338,139,1364,1503
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1286,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,214,1286,214,1500
Student,AY 22-23, 1st,student,degree,270,0,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1228,270,1228,1498
Staff,AY 22-23, 1st,affiliate,contractor,11,306,5,1130,0,0,0,0,0,0,3,0,24,9,0,3,33,317,1135,320,1168,1488
Staff,AY 22-23, 1st,affiliate,administrator,179,0,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,1298,179,1298,1477
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1359,27,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,91,1386,91,1477
Staff,AY 22-23, 1st,affiliate,employee_of_vendor,0,418,0,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,418,1041,418,1041,1459
Staff,AY 22-23, 1st,affiliate,contractor,85,13,1189,112,0,0,0,0,0,0,0,0,57,0,0,0,57,98,1301,98,1358,1456
Staff,AY 22-23, 1st,affiliate,administrator,1059,2,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,394,1061,394,1455
Student,AY 22-23, 1st,student,degree,746,1,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,694,747,694,1441
Others,AY 22-23, 1st,student,--Unknown billing code--,1042,0,392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,395,1042,395,1437
Staff,AY 22-23, 1st,affiliate,administrator,1270,6,43,95,0,0,0,0,0,0,0,0,12,0,0,0,12,1276,138,1276,150,1426
Student,AY 22-23, 1st,student,degree,1192,0,219,0,0,0,0,0,0,0,8,0,0,0,0,8,0,1192,219,1200,219,1419
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1248,140,17,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1388,17,1388,20,1408
Student,AY 22-23, 1st,student,degree,489,0,907,0,0,0,0,0,0,0,0,0,5,0,0,0,5,489,907,489,912,1401
Student,AY 22-23, 1st,student,degree,249,4,1039,0,0,0,0,0,0,0,1,2,99,2,0,3,101,253,1039,256,1140,1396
Student,AY 22-23, 1st,student,degree,1248,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,148,1248,148,1396
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,603,42,724,22,0,0,0,0,0,0,0,0,0,0,0,0,0,645,746,645,746,1391
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1349,29,7,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1378,7,1378,12,1390
Staff,AY 22-23, 1st,affiliate,administrator,174,0,666,386,0,0,0,0,0,0,2,1,141,19,0,3,160,174,1052,177,1212,1389
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,1203,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,180,1203,180,1383
Others,AY 22-23, 1st,affiliate,--Unknown billing code--,1371,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,0,1381,0,1381
Student,AY 22-23, 1st,student,degree,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,1371,0,1371
Student,AY 22-23, 1st,student,degree,163,0,1121,0,0,0,0,0,0,0,0,0,80,0,0,0,80,163,1121,163,1201,1364
Student,AY 22-23, 1st,student,degree,1201,0,127,0,0,0,0,0,0,0,0,0,12,0,0,0,12,1201,127,1201,139,1340
Staff,AY 22-23, 1st,affiliate,contractor,414,0,777,44,0,0,0,0,0,0,0,0,101,4,0,0,105,414,821,414,926,1340
Staff,AY 22-23, 1st,affiliate,contractor,805,0,110,421,0,0,0,0,0,0,0,0,0,0,0,0,0,805,531,805,531,1336
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1284,36,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,6,1320,6,1326
Staff,AY 22-23, 1st,affiliate,administrator,59,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1250,59,1250,1309
Staff,AY 22-23, 1st,affiliate,contractor,244,220,435,186,0,0,0,0,0,0,24,4,163,29,0,28,192,464,621,492,813,1305
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1230,0,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,65,1230,65,1295
Staff,AY 22-23, 1st,affiliate,contractor,88,34,835,328,0,0,0,0,0,0,0,0,8,0,0,0,8,122,1163,122,1171,1293
Staff,AY 22-23, 1st,affiliate,administrator,962,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,325,962,325,1287
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,806,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,481,806,481,1287
Staff,AY 22-23, 1st,affiliate,contractor,334,5,555,94,0,0,0,0,0,0,7,1,237,51,0,8,288,339,649,347,937,1284
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1252,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1258,24,1258,24,1282
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,134,4,817,295,0,0,0,0,0,0,3,0,6,21,0,3,27,138,1112,141,1139,1280
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1269,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,1278,0,1278
Staff,AY 22-23, 1st,affiliate,administrator,133,4,1127,0,0,0,0,0,0,0,0,0,9,1,0,0,10,137,1127,137,1137,1274
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1271,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1271,1,1271,2,1273
Staff,AY 22-23, 1st,affiliate,ad_contingent,0,320,0,944,0,0,0,0,0,0,0,0,0,0,0,0,0,320,944,320,944,1264
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1028,1,207,17,0,0,0,0,0,0,0,0,8,0,0,0,8,1029,224,1029,232,1261
Student,AY 22-23, 1st,student,degree,267,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,994,267,994,1261
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,722,279,230,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,259,1001,259,1260
Staff,AY 22-23, 1st,affiliate,contractor,113,48,646,98,0,0,0,0,0,0,0,0,347,7,0,0,354,161,744,161,1098,1259
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,605,0,640,10,0,0,0,0,0,0,0,0,0,0,0,0,0,605,650,605,650,1255
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1199,2,31,0,0,0,0,0,0,0,0,0,1,10,0,0,11,1201,31,1201,42,1243
Staff,AY 22-23, 1st,affiliate,administrator,171,0,1013,20,0,0,0,0,0,0,3,0,33,2,0,3,35,171,1033,174,1068,1242
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,843,0,392,0,0,0,0,0,0,0,0,0,6,0,0,0,6,843,392,843,398,1241
Student,AY 22-23, 1st,student,degree,200,0,1020,0,0,0,0,0,0,0,4,0,12,0,0,4,12,200,1020,204,1032,1236
Staff,AY 22-23, 1st,affiliate,contractor,0,1065,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,170,1065,170,1235
Others,AY 22-23, 1st,affiliate,--Unknown billing code--,917,241,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,67,1158,67,1225
