time,outdoor_PM2.5_conc_(µg/m3),outdoor_US_AQI,outdoor_category,c2_PM2.5_conc_(µg/m3),c2_US_AQI,c2_category,d2_PM2.5_conc_(µg/m3),d2_US_AQI,d2_category
2021-05-04,19.6,66,Moderate,3.7,15,Good,15.5,58,Moderate
2021-05-05,15.9,58,Moderate,2.4,10,Good,13.9,54,Moderate
2021-05-06,20,67,Moderate,3.2,13,Good,15.7,58,Moderate
2021-05-07,33,94,Moderate,6.2,25,Good,17.8,62,Moderate
2021-05-08,31,90,Moderate,6.6,27,Good,21.4,70,Moderate
2021-05-09,28.5,85,Moderate,7,29,Good,17.1,61,Moderate
2021-05-10,32.1,93,Moderate,7.2,30,Good,17.4,62,Moderate
2021-05-11,45.3,125,Unhealthy for Sensitive Groups,10.7,44,Good,29.4,87,Moderate
2021-05-12,60.1,153,Unhealthy,13.7,54,Moderate,32.2,93,Moderate
2021-05-13,69.7,158,Unhealthy,17.3,61,Moderate,32.8,94,Moderate
2021-05-14,,,No Data,13.1,53,Moderate,23.1,74,Moderate
2021-05-15,37.3,105,Unhealthy for Sensitive Groups,7.9,32,Good,23.7,75,Moderate
2021-05-16,39.1,109,Unhealthy for Sensitive Groups,9.4,39,Good,18.4,64,Moderate
2021-05-17,51.5,140,Unhealthy for Sensitive Groups,11.5,47,Good,24.9,77,Moderate
2021-05-18,39.6,111,Unhealthy for Sensitive Groups,9.7,40,Good,25.7,79,Moderate
2021-05-19,39.2,110,Unhealthy for Sensitive Groups,10.2,42,Good,24.4,76,Moderate
2021-05-20,55.6,151,Unhealthy,12.7,52,Moderate,23.7,75,Moderate
2021-05-21,55.7,151,Unhealthy,11.5,47,Good,24.7,77,Moderate
2021-05-22,57.2,151,Unhealthy,12.5,51,Moderate,29.4,87,Moderate
2021-05-23,55.8,151,Unhealthy,12.8,52,Moderate,25,78,Moderate
2021-05-24,43.2,119,Unhealthy for Sensitive Groups,10,41,Good,22.4,72,Moderate
2021-05-25,23,73,Moderate,5.3,22,Good,9.7,40,Good
2021-05-26,22.6,73,Moderate,5,20,Good,9.7,40,Good
2021-05-27,16.6,60,Moderate,4.3,17,Good,7.4,30,Good
2021-05-28,27.7,83,Moderate,7.1,29,Good,9.6,40,Good
2021-05-29,45.9,126,Unhealthy for Sensitive Groups,11.3,47,Good,14.8,56,Moderate
2021-05-30,52.1,141,Unhealthy for Sensitive Groups,13,52,Moderate,17.6,62,Moderate
2021-05-31,59.5,153,Unhealthy,16.1,59,Moderate,21.5,70,Moderate
2021-06-01,43.8,121,Unhealthy for Sensitive Groups,11.5,47,Good,16.3,59,Moderate
2021-06-02,25.9,80,Moderate,5.3,22,Good,10.7,44,Good
2021-06-03,55.8,151,Unhealthy,11.7,48,Good,16.3,59,Moderate
2021-06-04,79.5,163,Unhealthy,18.2,63,Moderate,22.8,73,Moderate
2021-06-05,46.9,129,Unhealthy for Sensitive Groups,10.3,42,Good,16.8,60,Moderate
2021-06-06,46.3,127,Unhealthy for Sensitive Groups,10.5,43,Good,14.8,56,Moderate
2021-06-07,27.3,82,Moderate,5.2,21,Good,8.5,35,Good
2021-06-08,25.4,78,Moderate,6,25,Good,10.6,44,Good
2021-06-09,21.1,69,Moderate,4.9,20,Good,9.7,40,Good
2021-06-10,22.2,72,Moderate,5.4,22,Good,8.6,35,Good
2021-06-11,20.6,68,Moderate,3.1,12,Good,5.4,22,Good
2021-06-12,35.9,101,Unhealthy for Sensitive Groups,8.1,33,Good,13.4,53,Moderate
2021-06-13,23.5,74,Moderate,4.7,19,Good,8.7,36,Good
2021-06-14,26.7,81,Moderate,5.6,23,Good,9.3,38,Good
2021-06-15,27.2,82,Moderate,4.6,19,Good,9.4,39,Good
2021-06-16,34.7,98,Moderate,6.8,28,Good,12.4,51,Moderate
2021-06-17,37.4,105,Unhealthy for Sensitive Groups,4.6,19,Good,7.6,31,Good
2021-06-18,43.3,120,Unhealthy for Sensitive Groups,3.6,15,Good,5.5,22,Good
2021-06-19,48.8,133,Unhealthy for Sensitive Groups,8.2,34,Good,10.6,44,Good
2021-06-20,66,156,Unhealthy,14.7,56,Moderate,31.2,91,Moderate
2021-06-21,42.2,117,Unhealthy for Sensitive Groups,7.5,31,Good,20.3,68,Moderate
2021-06-22,38.4,108,Unhealthy for Sensitive Groups,8.4,35,Good,15.5,58,Moderate
2021-06-23,21.8,71,Moderate,2.9,12,Good,12.3,51,Moderate
2021-06-24,24.1,76,Moderate,3.7,15,Good,12.1,51,Moderate
2021-06-25,53,144,Unhealthy for Sensitive Groups,10.5,43,Good,20.6,68,Moderate
2021-06-26,46.3,127,Unhealthy for Sensitive Groups,11.5,47,Good,18.6,64,Moderate
2021-06-27,27.5,83,Moderate,4.1,17,Good,6.7,27,Good
2021-06-28,40,112,Unhealthy for Sensitive Groups,4,16,Good,7.6,31,Good
2021-06-29,20.4,68,Moderate,2.5,10,Good,11.2,46,Good
2021-06-30,11.6,48,Good,2,8,Good,5.4,22,Good
2021-07-01,28,84,Moderate,4.9,20,Good,9.9,41,Good
2021-07-02,70.6,158,Unhealthy,16.6,60,Moderate,24.5,77,Moderate
2021-07-03,104.4,176,Unhealthy,23.7,75,Moderate,34.3,97,Moderate
2021-07-04,82.9,165,Unhealthy,19.1,65,Moderate,26.2,80,Moderate
2021-07-05,52.3,142,Unhealthy for Sensitive Groups,11.2,46,Good,19.2,65,Moderate
2021-07-06,24,76,Moderate,3.9,16,Good,9.5,39,Good
2021-07-07,28.5,85,Moderate,3.5,14,Good,8.5,35,Good
2021-07-08,19.3,66,Moderate,2.7,11,Good,9.2,38,Good
2021-07-09,36.3,102,Unhealthy for Sensitive Groups,6.3,26,Good,14.3,55,Moderate
2021-07-10,65.2,156,Unhealthy,14.9,56,Moderate,20.9,69,Moderate
2021-07-11,21.8,71,Moderate,5.8,24,Good,7.3,30,Good
2021-07-12,34.7,98,Moderate,7.4,30,Good,11.2,46,Good
2021-07-13,23,73,Moderate,3.4,14,Good,6.7,27,Good
2021-07-14,21.4,70,Moderate,2.9,12,Good,4.5,18,Good
2021-07-15,19.1,65,Moderate,2.8,11,Good,,,No Data
2021-07-16,28.9,86,Moderate,2.4,10,Good,,,No Data
2021-07-17,12.3,51,Moderate,,,No Data,,,No Data
2021-07-18,17.6,62,Moderate,,,No Data,,,No Data
2021-07-19,10.7,44,Good,,,No Data,,,No Data
2021-07-20,20.6,68,Moderate,,,No Data,,,No Data
2021-07-21,24.5,77,Moderate,,,No Data,,,No Data
2021-07-22,10.4,43,Good,,,No Data,,,No Data
2021-07-23,16.5,60,Moderate,,,No Data,,,No Data
2021-07-24,46.2,127,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-07-25,33.1,95,Moderate,,,No Data,,,No Data
2021-07-26,35.8,101,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-07-27,49.2,134,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-07-28,63.8,155,Unhealthy,,,No Data,,,No Data
2021-07-29,81.8,164,Unhealthy,,,No Data,,,No Data
2021-07-30,43.9,121,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-07-31,62.8,154,Unhealthy,,,No Data,,,No Data
2021-08-01,57.8,152,Unhealthy,,,No Data,,,No Data
2021-08-02,46.6,128,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-08-03,57.2,151,Unhealthy,,,No Data,,,No Data
2021-08-04,74.6,160,Unhealthy,,,No Data,,,No Data
2021-08-05,90.6,169,Unhealthy,,,No Data,,,No Data
2021-08-06,83.6,165,Unhealthy,,,No Data,,,No Data
2021-08-07,85.3,166,Unhealthy,,,No Data,,,No Data
2021-08-08,,,No Data,,,No Data,,,No Data
2021-08-09,23,73,Moderate,,,No Data,,,No Data
2021-08-10,23.4,74,Moderate,,,No Data,,,No Data
2021-08-11,37.4,105,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-08-12,53.2,144,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-08-13,80.5,163,Unhealthy,,,No Data,,,No Data
2021-08-14,58.5,152,Unhealthy,,,No Data,,,No Data
2021-08-15,58.9,152,Unhealthy,,,No Data,,,No Data
2021-08-16,37.6,106,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-08-17,53.4,145,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-08-18,38.6,108,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-08-19,34.3,97,Moderate,,,No Data,,,No Data
2021-08-20,23.1,74,Moderate,,,No Data,,,No Data
2021-08-21,15.9,58,Moderate,,,No Data,,,No Data
2021-08-22,20.6,68,Moderate,,,No Data,,,No Data
2021-08-23,39.6,111,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-08-24,24,76,Moderate,,,No Data,,,No Data
2021-08-25,24.3,76,Moderate,,,No Data,,,No Data
2021-08-26,83.2,165,Unhealthy,,,No Data,,,No Data
2021-08-27,78.4,162,Unhealthy,,,No Data,,,No Data
2021-08-28,40.9,114,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-08-29,28.1,84,Moderate,,,No Data,,,No Data
2021-08-30,18.2,63,Moderate,,,No Data,,,No Data
2021-08-31,18.2,63,Moderate,,,No Data,,,No Data
2021-09-01,15.7,58,Moderate,,,No Data,,,No Data
2021-09-02,14.9,56,Moderate,,,No Data,,,No Data
2021-09-03,28.1,84,Moderate,,,No Data,,,No Data
2021-09-04,28,84,Moderate,,,No Data,,,No Data
2021-09-05,38.3,107,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-09-06,57.7,152,Unhealthy,,,No Data,,,No Data
2021-09-07,98.9,173,Unhealthy,,,No Data,,,No Data
2021-09-08,87,167,Unhealthy,,,No Data,,,No Data
2021-09-09,82.5,164,Unhealthy,,,No Data,,,No Data
2021-09-10,71.4,159,Unhealthy,,,No Data,,,No Data
2021-09-11,83,165,Unhealthy,,,No Data,,,No Data
2021-09-12,53,144,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-09-13,59.9,153,Unhealthy,,,No Data,,,No Data
2021-09-14,19.3,66,Moderate,,,No Data,,,No Data
2021-09-15,40.1,112,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-09-16,42.8,118,Unhealthy for Sensitive Groups,,,No Data,,,No Data
2021-09-17,32.6,94,Moderate,,,No Data,,,No Data
2021-09-18,23.7,75,Moderate,,,No Data,,,No Data
2021-09-19,22,71,Moderate,,,No Data,,,No Data
2021-09-20,30.1,88,Moderate,,,No Data,1.4,5,Good
2021-09-21,38,107,Unhealthy for Sensitive Groups,,,No Data,17.7,62,Moderate
2021-09-22,22.7,73,Moderate,,,No Data,3.7,15,Good
2021-09-23,34.3,97,Moderate,,,No Data,3.9,16,Good
2021-09-24,30.6,89,Moderate,,,No Data,3.1,12,Good
2021-09-25,29.1,86,Moderate,,,No Data,6.5,27,Good
2021-09-26,18.6,64,Moderate,,,No Data,3,12,Good
2021-09-27,27.3,82,Moderate,,,No Data,2.9,12,Good
2021-09-28,26.2,80,Moderate,,,No Data,1,4,Good
2021-09-29,25.9,80,Moderate,,,No Data,6.9,28,Good
2021-09-30,42.6,118,Unhealthy for Sensitive Groups,,,No Data,9.4,39,Good
2021-10-01,47,129,Unhealthy for Sensitive Groups,,,No Data,2.4,10,Good
2021-10-02,40.7,113,Unhealthy for Sensitive Groups,,,No Data,6.6,27,Good
2021-10-03,36.9,104,Unhealthy for Sensitive Groups,,,No Data,6.8,28,Good
2021-10-04,10.7,44,Good,,,No Data,2.1,8,Good
2021-10-05,13.2,53,Moderate,,,No Data,1.7,7,Good
2021-10-06,24.8,77,Moderate,,,No Data,2.6,10,Good
2021-10-07,15.6,58,Moderate,,,No Data,4.6,19,Good
2021-10-08,30.4,89,Moderate,,,No Data,1.8,7,Good
2021-10-09,52.3,142,Unhealthy for Sensitive Groups,,,No Data,4.1,17,Good
2021-10-10,31.1,90,Moderate,,,No Data,3.6,15,Good
2021-10-11,14.4,55,Moderate,,,No Data,3.1,12,Good
2021-10-12,22.1,72,Moderate,,,No Data,2.5,10,Good
2021-10-13,16.7,60,Moderate,,,No Data,1.9,7,Good
2021-10-14,22.7,73,Moderate,,,No Data,3.3,13,Good
2021-10-15,44.1,122,Unhealthy for Sensitive Groups,,,No Data,5.7,23,Good
2021-10-16,72.4,159,Unhealthy,,,No Data,6.4,26,Good
2021-10-17,57.9,152,Unhealthy,,,No Data,5.7,23,Good
2021-10-18,43.2,119,Unhealthy for Sensitive Groups,,,No Data,7.5,31,Good
2021-10-19,20.7,69,Moderate,,,No Data,2.1,8,Good
2021-10-20,29.6,87,Moderate,,,No Data,,,No Data
2021-10-21,32.4,93,Moderate,,,No Data,,,No Data
2021-10-22,23.2,74,Moderate,,,No Data,5.5,22,Good
2021-10-23,46.5,128,Unhealthy for Sensitive Groups,,,No Data,3.9,16,Good
2021-10-24,40.4,113,Unhealthy for Sensitive Groups,,,No Data,6.8,28,Good
2021-10-25,51.7,140,Unhealthy for Sensitive Groups,,,No Data,4.2,17,Good
2021-10-26,32.3,93,Moderate,,,No Data,4.6,19,Good
2021-10-27,25.1,78,Moderate,,,No Data,3.9,16,Good
2021-10-28,23,73,Moderate,,,No Data,3.3,13,Good
2021-10-29,23.5,74,Moderate,,,No Data,2.7,11,Good
2021-10-30,23.5,74,Moderate,,,No Data,2.8,11,Good
2021-10-31,21.2,70,Moderate,,,No Data,3.8,15,Good
2021-11-01,54,146,Unhealthy for Sensitive Groups,,,No Data,7.1,29,Good
2021-11-02,56.4,151,Unhealthy,,,No Data,4.1,17,Good
2021-11-03,57.5,152,Unhealthy,,,No Data,5.9,24,Good
2021-11-04,68.1,157,Unhealthy,,,No Data,5.6,23,Good
2021-11-05,75.7,161,Unhealthy,,,No Data,5.5,22,Good
2021-11-06,61.2,153,Unhealthy,,,No Data,5.1,21,Good
2021-11-07,,,No Data,,,No Data,3.7,15,Good
2021-11-08,19.6,66,Moderate,,,No Data,2.6,10,Good
2021-11-09,21,69,Moderate,,,No Data,3.7,15,Good
2021-11-10,26.8,81,Moderate,,,No Data,3.3,13,Good
2021-11-11,19.6,66,Moderate,,,No Data,6.1,25,Good
2021-11-12,14.8,56,Moderate,,,No Data,6.5,27,Good
2021-11-13,20.7,69,Moderate,,,No Data,9.9,41,Good
2021-11-14,21.3,70,Moderate,,,No Data,9.3,38,Good
2021-11-15,,,No Data,,,No Data,12.8,52,Moderate
2021-11-16,,,No Data,,,No Data,15.2,57,Moderate
2021-11-17,,,No Data,,,No Data,15,57,Moderate
2021-11-18,,,No Data,,,No Data,18.9,65,Moderate
2021-11-19,,,No Data,,,No Data,14.4,55,Moderate
2021-11-20,,,No Data,,,No Data,8.1,33,Good
2021-11-21,,,No Data,3.5,14,Good,10.1,42,Good
2021-11-22,,,No Data,3.6,15,Good,11.2,46,Good
2021-11-23,,,No Data,4.5,18,Good,12,50,Good
2021-11-24,,,No Data,4.4,18,Good,13.6,54,Moderate
2021-11-25,14.1,55,Moderate,2.9,12,Good,8.6,35,Good
2021-11-26,24.4,76,Moderate,3.8,15,Good,9.8,40,Good
2021-11-27,46.5,128,Unhealthy for Sensitive Groups,5.8,24,Good,15.7,58,Moderate
2021-11-28,34.4,97,Moderate,5.6,23,Good,16.1,59,Moderate
2021-11-29,18.7,64,Moderate,3.6,15,Good,11.6,48,Good
2021-11-30,31.4,91,Moderate,6.3,26,Good,14.3,55,Moderate
2021-12-01,28.2,84,Moderate,4.7,19,Good,10.7,44,Good
2021-12-02,27.9,84,Moderate,4.5,18,Good,12.7,52,Moderate
2021-12-03,29.3,87,Moderate,4.7,19,Good,12.3,51,Moderate
2021-12-04,10.6,44,Good,2.1,8,Good,9.5,39,Good
2021-12-05,21.8,71,Moderate,4.3,17,Good,13.1,53,Moderate
2021-12-06,31.7,92,Moderate,6,25,Good,14.9,56,Moderate
2021-12-07,24.2,76,Moderate,4.6,19,Good,11.4,47,Good
2021-12-08,35.6,101,Unhealthy for Sensitive Groups,6.3,26,Good,15.8,58,Moderate
2021-12-09,13.3,53,Moderate,2.7,11,Good,10.2,42,Good
2021-12-10,20.6,68,Moderate,3.5,14,Good,10.2,42,Good
2021-12-11,43.8,121,Unhealthy for Sensitive Groups,8.4,35,Good,17.2,61,Moderate
2021-12-12,,,No Data,5.8,24,Good,15.1,57,Moderate
2021-12-13,39.9,111,Unhealthy for Sensitive Groups,8.5,35,Good,18.9,65,Moderate
2021-12-14,34,97,Moderate,6.7,27,Good,16.9,61,Moderate
2021-12-15,30.9,90,Moderate,6.2,25,Good,15.8,58,Moderate
2021-12-16,21.7,71,Moderate,4.6,19,Good,14.9,56,Moderate
2021-12-17,21,69,Moderate,4.2,17,Good,9,37,Good
2021-12-18,14.6,56,Moderate,3,12,Good,10.5,43,Good
2021-12-19,13,52,Moderate,2.9,12,Good,10.5,43,Good
2021-12-20,14.9,56,Moderate,2.5,10,Good,11.1,46,Good
2021-12-21,21.9,71,Moderate,3.2,13,Good,12.9,52,Moderate
2021-12-22,25.2,78,Moderate,3.7,15,Good,11.1,46,Good
2021-12-23,6.3,26,Good,1.2,5,Good,6.1,25,Good
2021-12-24,4.5,18,Good,0.9,3,Good,2.5,10,Good
2021-12-25,8.2,34,Good,1.3,5,Good,3.8,15,Good
2021-12-26,7.8,32,Good,1.7,7,Good,3.1,12,Good
2021-12-27,11.2,46,Good,2.7,11,Good,5.1,21,Good
2021-12-28,9.1,37,Good,1.9,7,Good,4.5,18,Good
2021-12-29,18.5,64,Moderate,2.9,12,Good,5.8,24,Good
2021-12-30,27.6,83,Moderate,3.7,15,Good,7.9,32,Good
2021-12-31,16,59,Moderate,2.2,9,Good,4.5,18,Good
2022-01-01,7.3,30,Good,1.1,4,Good,4.1,17,Good
2022-01-02,26,80,Moderate,4.4,18,Good,8.1,33,Good
2022-01-03,28.3,85,Moderate,4.6,19,Good,10.1,42,Good
2022-01-04,23.5,74,Moderate,5.2,21,Good,12.1,51,Moderate
2022-01-05,26,80,Moderate,6.4,26,Good,12.5,51,Moderate
2022-01-06,17.7,62,Moderate,4,16,Good,8,33,Good
2022-01-07,11.5,47,Good,2.3,9,Good,5.5,22,Good
2022-01-08,10.1,42,Good,1.5,6,Good,6.2,25,Good
2022-01-09,33.9,96,Moderate,5.9,24,Good,13.6,54,Moderate
2022-01-10,53,144,Unhealthy for Sensitive Groups,8.6,35,Good,21.2,70,Moderate
2022-01-11,32.9,94,Moderate,5,20,Good,9.2,38,Good
2022-01-12,34.7,98,Moderate,4.4,18,Good,11,45,Good
2022-01-13,47.7,131,Unhealthy for Sensitive Groups,6.8,28,Good,15.5,58,Moderate
2022-01-14,46.5,128,Unhealthy for Sensitive Groups,4.6,19,Good,11.9,49,Good
2022-01-15,25.7,79,Moderate,2,8,Good,5.9,24,Good
2022-01-16,11.4,47,Good,1.6,6,Good,4.2,17,Good
2022-01-17,13.3,53,Moderate,2.2,9,Good,5.2,21,Good
2022-01-18,16.1,59,Moderate,3,12,Good,5.5,22,Good
2022-01-19,7.4,30,Good,3.9,16,Good,5,20,Good
2022-01-20,4.8,20,Good,1.4,5,Good,5.1,21,Good
2022-01-21,7.9,32,Good,1.7,7,Good,4.2,17,Good
2022-01-22,10,41,Good,1.5,6,Good,4.2,17,Good
2022-01-23,5.4,22,Good,1.3,5,Good,3.7,15,Good
2022-01-24,5.8,24,Good,1.3,5,Good,7.3,30,Good
2022-01-25,17.7,62,Moderate,2.7,11,Good,8.8,36,Good
2022-01-26,43.3,120,Unhealthy for Sensitive Groups,6.1,25,Good,13.3,53,Moderate
2022-01-27,74.1,160,Unhealthy,11.3,47,Good,20.9,69,Moderate
2022-01-28,51.3,139,Unhealthy for Sensitive Groups,8.2,34,Good,16,59,Moderate
2022-01-29,14.8,56,Moderate,1.3,5,Good,4.9,20,Good
2022-01-30,12.2,51,Moderate,2.5,10,Good,6.7,27,Good
2022-01-31,11,45,Good,1.8,7,Good,6.9,28,Good
2022-02-01,20.6,68,Moderate,2.4,10,Good,7.8,32,Good
2022-02-02,23.5,74,Moderate,3.4,14,Good,7.8,32,Good
2022-02-03,17.3,61,Moderate,3.1,12,Good,7.8,32,Good
2022-02-04,16.4,60,Moderate,2.5,10,Good,8.7,36,Good
2022-02-05,30,88,Moderate,4.1,17,Good,8.9,37,Good
2022-02-06,12.2,51,Moderate,1.8,7,Good,5.1,21,Good
2022-02-07,8.2,34,Good,1.9,7,Good,5,20,Good
2022-02-08,7.5,31,Good,1.8,7,Good,6.5,27,Good
2022-02-09,11.3,47,Good,2.1,8,Good,8.4,35,Good
2022-02-10,24.4,76,Moderate,3.3,13,Good,10.1,42,Good
2022-02-11,31.7,92,Moderate,4,16,Good,12.7,52,Moderate
2022-02-12,15.9,58,Moderate,2.6,10,Good,6.4,26,Good
2022-02-13,17.3,61,Moderate,3.4,14,Good,7.7,32,Good
2022-02-14,21.8,71,Moderate,4.5,18,Good,10.4,43,Good
2022-02-15,30,88,Moderate,4.6,19,Good,13,52,Moderate
2022-02-16,35.1,99,Moderate,6.8,28,Good,14.7,56,Moderate
2022-02-17,39.1,109,Unhealthy for Sensitive Groups,7.5,31,Good,17.8,62,Moderate
2022-02-18,24.1,76,Moderate,4.2,17,Good,13.1,53,Moderate
2022-02-19,25.9,80,Moderate,3.2,13,Good,9.6,40,Good
2022-02-20,18.3,64,Moderate,3.4,14,Good,8.5,35,Good
2022-02-21,27.7,83,Moderate,4,16,Good,10.7,44,Good
2022-02-22,30.5,89,Moderate,5.6,23,Good,13,52,Moderate
2022-02-23,39.8,111,Unhealthy for Sensitive Groups,6.3,26,Good,16.4,60,Moderate
2022-02-24,46.1,127,Unhealthy for Sensitive Groups,6.5,27,Good,19.8,67,Moderate
2022-02-25,50.4,137,Unhealthy for Sensitive Groups,7.3,30,Good,20.6,68,Moderate
2022-02-26,47.5,130,Unhealthy for Sensitive Groups,6.5,27,Good,17.4,62,Moderate
2022-02-27,22.5,72,Moderate,3.9,16,Good,13.6,54,Moderate
2022-02-28,30.6,89,Moderate,4.8,20,Good,13.9,54,Moderate
2022-03-01,14.8,56,Moderate,3.2,13,Good,9.3,38,Good
2022-03-02,23.7,75,Moderate,4.5,18,Good,11.6,48,Good
2022-03-03,31.1,90,Moderate,5.1,21,Good,14.9,56,Moderate
2022-03-04,45.1,124,Unhealthy for Sensitive Groups,6.5,27,Good,17.7,62,Moderate
2022-03-05,10.9,45,Good,3.1,12,Good,6.4,26,Good
2022-03-06,28.3,85,Moderate,5.2,21,Good,12.1,51,Moderate
2022-03-07,26.4,81,Moderate,4.3,17,Good,10.5,43,Good
2022-03-08,22.9,73,Moderate,4.1,17,Good,9,37,Good
2022-03-09,11.6,48,Good,2.9,12,Good,7.8,32,Good
2022-03-10,15.8,58,Moderate,3.8,15,Good,9,37,Good
2022-03-11,21.4,70,Moderate,4.8,20,Good,15.1,57,Moderate
2022-03-12,16.7,60,Moderate,3,12,Good,7.6,31,Good
2022-03-13,16.9,61,Moderate,2.8,11,Good,8.7,36,Good
2022-03-14,30.3,89,Moderate,5.4,22,Good,12.6,52,Moderate
2022-03-15,39.7,111,Unhealthy for Sensitive Groups,7.1,29,Good,11.3,47,Good
2022-03-16,23.9,75,Moderate,4.7,19,Good,,,No Data
2022-03-17,13.9,54,Moderate,2.7,11,Good,6,25,Good
2022-03-18,10.8,45,Good,2.3,9,Good,5.8,24,Good
2022-03-19,10.1,42,Good,2.2,9,Good,6.2,25,Good
2022-03-20,10.1,42,Good,2,8,Good,6.2,25,Good
2022-03-21,20.3,68,Moderate,3.3,13,Good,9,37,Good
2022-03-22,26.8,81,Moderate,4,16,Good,10.3,42,Good
2022-03-23,33,94,Moderate,6.3,26,Good,16,59,Moderate
2022-03-24,22.5,72,Moderate,5.3,22,Good,16.2,59,Moderate
2022-03-25,19.9,67,Moderate,3.6,15,Good,14,54,Moderate
2022-03-26,15.9,58,Moderate,3.1,12,Good,6.5,27,Good
2022-03-27,10.3,42,Good,1.9,7,Good,5,20,Good
2022-03-28,12.8,52,Moderate,3.5,14,Good,11,45,Good
2022-03-29,15.1,57,Moderate,3.3,13,Good,11.9,49,Good
2022-03-30,27.9,84,Moderate,5.8,24,Good,18.6,64,Moderate
2022-03-31,40.4,113,Unhealthy for Sensitive Groups,9.2,38,Good,21.7,71,Moderate
2022-04-01,33.7,96,Moderate,7.9,32,Good,20.4,68,Moderate
2022-04-02,,,No Data,6.7,27,Good,12.8,52,Moderate
2022-04-03,,,No Data,9.6,40,Good,19.2,65,Moderate
2022-04-04,,,No Data,11.1,46,Good,27,82,Moderate
2022-04-05,,,No Data,,,No Data,33.7,96,Moderate
2022-04-06,,,No Data,,,No Data,33.4,95,Moderate
2022-04-07,,,No Data,,,No Data,31.6,92,Moderate
2022-04-08,,,No Data,,,No Data,,,No Data
2022-04-09,,,No Data,,,No Data,,,No Data
2022-04-10,,,No Data,,,No Data,,,No Data
