time,outdoor_PM2.5_conc_(µg/m3),outdoor_US_AQI,outdoor_category
2021-03-10,56.4,151,Unhealthy
2021-03-10,59.6,153,Unhealthy
2021-03-10,60.3,153,Unhealthy
2021-03-10,33.2,95,Moderate
2021-03-10,21.5,70,Moderate
2021-03-10,17.4,62,Moderate
2021-03-10,20.4,68,Moderate
2021-03-10,19.9,67,Moderate
2021-03-10,16.4,60,Moderate
2021-03-10,21.4,70,Moderate
2021-03-10,22.2,72,Moderate
2021-03-10,22.4,72,Moderate
2021-03-10,21,69,Moderate
2021-03-10,21.6,70,Moderate
2021-03-10,24.7,77,Moderate
2021-03-10,25.3,78,Moderate
2021-03-10,21.5,70,Moderate
2021-03-10,18.7,64,Moderate
2021-03-10,16.4,60,Moderate
2021-03-11,16.3,59,Moderate
2021-03-11,16.5,60,Moderate
2021-03-11,16,59,Moderate
2021-03-11,15.2,57,Moderate
2021-03-11,15.1,57,Moderate
2021-03-11,16.6,60,Moderate
2021-03-11,15.8,58,Moderate
2021-03-11,23,73,Moderate
2021-03-11,25.5,79,Moderate
2021-03-11,23.4,74,Moderate
2021-03-11,27.4,83,Moderate
2021-03-11,24.8,77,Moderate
2021-03-11,20.8,69,Moderate
2021-03-11,13.3,53,Moderate
2021-03-11,11.7,48,Good
2021-03-11,12.2,51,Moderate
2021-03-11,15,57,Moderate
2021-03-11,23.3,74,Moderate
2021-03-11,23.3,74,Moderate
2021-03-11,23.6,75,Moderate
2021-03-11,22.9,73,Moderate
2021-03-11,21.5,70,Moderate
2021-03-11,20.6,68,Moderate
2021-03-11,19.1,65,Moderate
2021-03-12,18.9,65,Moderate
2021-03-12,17.5,62,Moderate
2021-03-12,18.6,64,Moderate
2021-03-12,16.3,59,Moderate
2021-03-12,15.7,58,Moderate
2021-03-12,15.5,58,Moderate
2021-03-12,16.2,59,Moderate
2021-03-12,24.4,76,Moderate
2021-03-12,15.6,58,Moderate
2021-03-12,15.2,57,Moderate
2021-03-12,14.5,56,Moderate
2021-03-12,18.5,64,Moderate
2021-03-12,18.4,64,Moderate
2021-03-12,18.4,64,Moderate
2021-03-12,19.4,66,Moderate
2021-03-12,18.2,63,Moderate
2021-03-12,17.8,62,Moderate
2021-03-12,17.2,61,Moderate
2021-03-12,17.5,62,Moderate
2021-03-12,18.7,64,Moderate
2021-03-12,20.3,68,Moderate
2021-03-12,19.3,66,Moderate
2021-03-12,18.5,64,Moderate
2021-03-12,18.8,65,Moderate
2021-03-13,20,67,Moderate
2021-03-13,18.8,65,Moderate
2021-03-13,16.5,60,Moderate
2021-03-13,15.1,57,Moderate
2021-03-13,14.5,56,Moderate
2021-03-13,14.6,56,Moderate
2021-03-13,15.1,57,Moderate
2021-03-13,,,No Data
2021-03-13,16.5,60,Moderate
2021-03-13,18.9,65,Moderate
2021-03-13,15.7,58,Moderate
2021-03-13,12.9,52,Moderate
2021-03-13,13.1,53,Moderate
2021-03-13,12.4,51,Moderate
2021-03-13,12.6,52,Moderate
2021-03-13,14.9,56,Moderate
2021-03-13,15.7,58,Moderate
2021-03-13,,,No Data
2021-03-13,,,No Data
2021-03-13,,,No Data
2021-03-13,,,No Data
2021-03-13,,,No Data
2021-03-13,20.1,67,Moderate
2021-03-13,19,65,Moderate
2021-03-14,18.3,64,Moderate
2021-03-14,17.1,61,Moderate
2021-03-14,16.5,60,Moderate
2021-03-14,16.4,60,Moderate
2021-03-14,15.7,58,Moderate
2021-03-14,16.2,59,Moderate
2021-03-14,16,59,Moderate
2021-03-14,31.3,91,Moderate
2021-03-14,17,61,Moderate
2021-03-14,15.6,58,Moderate
2021-03-14,16.2,59,Moderate
2021-03-14,17.6,62,Moderate
2021-03-14,19.7,66,Moderate
2021-03-14,17.3,61,Moderate
2021-03-14,12.7,52,Moderate
2021-03-14,18.4,64,Moderate
2021-03-14,12.9,52,Moderate
2021-03-14,10.3,42,Good
2021-03-14,10,41,Good
2021-03-14,9.7,40,Good
2021-03-14,10,41,Good
2021-03-14,10.9,45,Good
2021-03-14,10.4,43,Good
2021-03-14,9.9,41,Good
2021-03-15,10.4,43,Good
2021-03-15,11.3,47,Good
2021-03-15,11.4,47,Good
2021-03-15,11.4,47,Good
2021-03-15,12.9,52,Moderate
2021-03-15,13.6,54,Moderate
2021-03-15,15.6,58,Moderate
2021-03-15,20.2,68,Moderate
2021-03-15,15.9,58,Moderate
2021-03-15,14.6,56,Moderate
2021-03-15,13.8,54,Moderate
2021-03-15,14.4,55,Moderate
2021-03-15,14.9,56,Moderate
2021-03-15,16.9,61,Moderate
2021-03-15,20.5,68,Moderate
2021-03-15,22.6,73,Moderate
2021-03-15,23.3,74,Moderate
2021-03-15,25,78,Moderate
2021-03-15,27.6,83,Moderate
2021-03-15,,,No Data
2021-03-15,18.3,64,Moderate
2021-03-15,16.7,60,Moderate
2021-03-15,18.5,64,Moderate
2021-03-15,13.8,54,Moderate
2021-03-16,11.4,47,Good
2021-03-16,12.4,51,Moderate
2021-03-16,13.4,53,Moderate
2021-03-16,14.2,55,Moderate
2021-03-16,15.1,57,Moderate
2021-03-16,15.7,58,Moderate
2021-03-16,15.1,57,Moderate
2021-03-16,13.9,54,Moderate
2021-03-16,12.8,52,Moderate
2021-03-16,13.2,53,Moderate
2021-03-16,14.7,56,Moderate
2021-03-16,17.2,61,Moderate
2021-03-16,17.1,61,Moderate
2021-03-16,15.9,58,Moderate
2021-03-16,15.6,58,Moderate
2021-03-16,14.5,56,Moderate
2021-03-16,15.3,57,Moderate
2021-03-16,15.4,57,Moderate
2021-03-16,15,57,Moderate
2021-03-16,13.8,54,Moderate
2021-03-16,12.4,51,Moderate
2021-03-16,11,45,Good
2021-03-16,10.7,44,Good
2021-03-16,9.5,39,Good
2021-03-17,9.2,38,Good
2021-03-17,9.5,39,Good
2021-03-17,10,41,Good
2021-03-17,10.8,45,Good
2021-03-17,10.4,43,Good
2021-03-17,10.1,42,Good
2021-03-17,10.3,42,Good
2021-03-17,15.6,58,Moderate
2021-03-17,8.5,35,Good
2021-03-17,9.9,41,Good
2021-03-17,12.9,52,Moderate
2021-03-17,13.9,54,Moderate
2021-03-17,12.9,52,Moderate
2021-03-17,13.4,53,Moderate
2021-03-17,14.3,55,Moderate
2021-03-17,16.9,61,Moderate
2021-03-17,17.4,62,Moderate
2021-03-17,15.7,58,Moderate
2021-03-17,16.3,59,Moderate
2021-03-17,20.6,68,Moderate
2021-03-17,22.1,72,Moderate
2021-03-17,23.3,74,Moderate
2021-03-17,25.1,78,Moderate
2021-03-17,22.2,72,Moderate
2021-03-18,21.8,71,Moderate
2021-03-18,23.4,74,Moderate
2021-03-18,25.3,78,Moderate
2021-03-18,25.3,78,Moderate
2021-03-18,29.6,87,Moderate
2021-03-18,33.1,95,Moderate
2021-03-18,32.8,94,Moderate
2021-03-18,30.5,89,Moderate
2021-03-18,24.3,76,Moderate
2021-03-18,21.7,71,Moderate
2021-03-18,13.7,54,Moderate
2021-03-18,11.2,46,Good
2021-03-18,11.7,48,Good
2021-03-18,17.5,62,Moderate
2021-03-18,16.4,60,Moderate
2021-03-18,13.9,54,Moderate
2021-03-18,15.3,57,Moderate
2021-03-18,16.1,59,Moderate
2021-03-18,18.6,64,Moderate
2021-03-18,20.8,69,Moderate
2021-03-18,23.9,75,Moderate
2021-03-18,28.4,85,Moderate
2021-03-18,29.7,88,Moderate
2021-03-18,26.2,80,Moderate
2021-03-19,33.3,95,Moderate
2021-03-19,30.1,88,Moderate
2021-03-19,31.1,90,Moderate
2021-03-19,33.1,95,Moderate
2021-03-19,31.6,92,Moderate
2021-03-19,32.9,94,Moderate
2021-03-19,44.9,124,Unhealthy for Sensitive Groups
2021-03-19,46.2,127,Unhealthy for Sensitive Groups
2021-03-19,39.9,111,Unhealthy for Sensitive Groups
2021-03-19,30.4,89,Moderate
2021-03-19,24.6,77,Moderate
2021-03-19,18.9,65,Moderate
2021-03-19,20.2,68,Moderate
2021-03-19,26.3,80,Moderate
2021-03-19,25.2,78,Moderate
2021-03-19,29.8,88,Moderate
2021-03-19,27.7,83,Moderate
2021-03-19,40,112,Unhealthy for Sensitive Groups
2021-03-19,44,121,Unhealthy for Sensitive Groups
2021-03-19,48.5,133,Unhealthy for Sensitive Groups
2021-03-19,42.6,118,Unhealthy for Sensitive Groups
2021-03-19,37.3,105,Unhealthy for Sensitive Groups
2021-03-19,42.6,118,Unhealthy for Sensitive Groups
2021-03-19,36.6,103,Unhealthy for Sensitive Groups
2021-03-20,36.3,102,Unhealthy for Sensitive Groups
2021-03-20,41,114,Unhealthy for Sensitive Groups
2021-03-20,44.9,124,Unhealthy for Sensitive Groups
2021-03-20,51.4,140,Unhealthy for Sensitive Groups
2021-03-20,58,152,Unhealthy
2021-03-20,59.3,152,Unhealthy
2021-03-20,58.7,152,Unhealthy
2021-03-20,49.1,134,Unhealthy for Sensitive Groups
2021-03-20,48.1,132,Unhealthy for Sensitive Groups
2021-03-20,42.2,117,Unhealthy for Sensitive Groups
2021-03-20,42.2,117,Unhealthy for Sensitive Groups
2021-03-20,46.6,128,Unhealthy for Sensitive Groups
2021-03-20,51.7,140,Unhealthy for Sensitive Groups
2021-03-20,45,124,Unhealthy for Sensitive Groups
2021-03-20,36.9,104,Unhealthy for Sensitive Groups
2021-03-20,33.2,95,Moderate
2021-03-20,37.1,104,Unhealthy for Sensitive Groups
2021-03-20,43,119,Unhealthy for Sensitive Groups
2021-03-20,47.6,130,Unhealthy for Sensitive Groups
2021-03-20,51,139,Unhealthy for Sensitive Groups
2021-03-20,59.3,152,Unhealthy
2021-03-20,48.5,133,Unhealthy for Sensitive Groups
2021-03-20,43.8,121,Unhealthy for Sensitive Groups
2021-03-20,45.9,126,Unhealthy for Sensitive Groups
2021-03-21,50.6,138,Unhealthy for Sensitive Groups
2021-03-21,52.8,143,Unhealthy for Sensitive Groups
2021-03-21,55.5,151,Unhealthy
2021-03-21,58.6,152,Unhealthy
2021-03-21,59,152,Unhealthy
2021-03-21,63.3,155,Unhealthy
2021-03-21,73.6,160,Unhealthy
2021-03-21,78.2,162,Unhealthy
2021-03-21,93.2,170,Unhealthy
2021-03-21,70,158,Unhealthy
2021-03-21,44.5,123,Unhealthy for Sensitive Groups
2021-03-21,23.5,74,Moderate
2021-03-21,16,59,Moderate
2021-03-21,13.9,54,Moderate
2021-03-21,19.8,67,Moderate
2021-03-21,24.6,77,Moderate
2021-03-21,41.7,116,Unhealthy for Sensitive Groups
2021-03-21,54.3,147,Unhealthy for Sensitive Groups
2021-03-21,54.5,147,Unhealthy for Sensitive Groups
2021-03-21,69.9,158,Unhealthy
2021-03-21,59.4,153,Unhealthy
2021-03-21,52.7,143,Unhealthy for Sensitive Groups
2021-03-21,55.8,151,Unhealthy
2021-03-21,60,153,Unhealthy
2021-03-22,68.7,157,Unhealthy
2021-03-22,68.3,157,Unhealthy
2021-03-22,69,157,Unhealthy
2021-03-22,73.3,160,Unhealthy
2021-03-22,79.8,163,Unhealthy
2021-03-22,90.4,169,Unhealthy
2021-03-22,86,166,Unhealthy
2021-03-22,77.8,162,Unhealthy
2021-03-22,66.7,156,Unhealthy
2021-03-22,61.3,153,Unhealthy
2021-03-22,41.9,116,Unhealthy for Sensitive Groups
2021-03-22,44.8,123,Unhealthy for Sensitive Groups
2021-03-22,45.8,126,Unhealthy for Sensitive Groups
2021-03-22,41.8,116,Unhealthy for Sensitive Groups
2021-03-22,30.9,90,Moderate
2021-03-22,30.2,89,Moderate
2021-03-22,37.2,105,Unhealthy for Sensitive Groups
2021-03-22,46,126,Unhealthy for Sensitive Groups
2021-03-22,49.5,135,Unhealthy for Sensitive Groups
2021-03-22,48.4,132,Unhealthy for Sensitive Groups
2021-03-22,40.7,113,Unhealthy for Sensitive Groups
2021-03-22,36.1,102,Unhealthy for Sensitive Groups
2021-03-22,30.6,89,Moderate
2021-03-22,43,119,Unhealthy for Sensitive Groups
2021-03-23,55.1,149,Unhealthy for Sensitive Groups
2021-03-23,52,141,Unhealthy for Sensitive Groups
2021-03-23,45.3,125,Unhealthy for Sensitive Groups
2021-03-23,42.9,119,Unhealthy for Sensitive Groups
2021-03-23,45.9,126,Unhealthy for Sensitive Groups
2021-03-23,46.9,129,Unhealthy for Sensitive Groups
2021-03-23,50.3,137,Unhealthy for Sensitive Groups
2021-03-23,46.3,127,Unhealthy for Sensitive Groups
2021-03-23,41,114,Unhealthy for Sensitive Groups
2021-03-23,35.6,101,Unhealthy for Sensitive Groups
2021-03-23,31.2,91,Moderate
2021-03-23,25.3,78,Moderate
2021-03-23,19.9,67,Moderate
2021-03-23,14.2,55,Moderate
2021-03-23,16.6,60,Moderate
2021-03-23,20.5,68,Moderate
2021-03-23,22.5,72,Moderate
2021-03-23,,,No Data
2021-03-23,,,No Data
2021-03-23,,,No Data
2021-03-23,43.2,119,Unhealthy for Sensitive Groups
2021-03-23,45.6,125,Unhealthy for Sensitive Groups
2021-03-23,53.1,144,Unhealthy for Sensitive Groups
2021-03-23,58.1,152,Unhealthy
2021-03-24,61.4,154,Unhealthy
2021-03-24,65.5,156,Unhealthy
2021-03-24,55.6,151,Unhealthy
2021-03-24,45.1,124,Unhealthy for Sensitive Groups
2021-03-24,41.5,115,Unhealthy for Sensitive Groups
2021-03-24,43.2,119,Unhealthy for Sensitive Groups
2021-03-24,50.8,138,Unhealthy for Sensitive Groups
2021-03-24,50.9,138,Unhealthy for Sensitive Groups
2021-03-24,41.4,115,Unhealthy for Sensitive Groups
2021-03-24,37.4,105,Unhealthy for Sensitive Groups
2021-03-24,39.4,110,Unhealthy for Sensitive Groups
2021-03-24,36.1,102,Unhealthy for Sensitive Groups
2021-03-24,33.7,96,Moderate
2021-03-24,37.2,105,Unhealthy for Sensitive Groups
2021-03-24,38,107,Unhealthy for Sensitive Groups
2021-03-24,39.2,110,Unhealthy for Sensitive Groups
2021-03-24,44.8,123,Unhealthy for Sensitive Groups
2021-03-24,50.9,138,Unhealthy for Sensitive Groups
2021-03-24,65.3,156,Unhealthy
2021-03-24,79,163,Unhealthy
2021-03-24,77.7,162,Unhealthy
2021-03-24,84.5,165,Unhealthy
2021-03-24,87.5,167,Unhealthy
2021-03-24,91.3,169,Unhealthy
2021-03-25,80.7,164,Unhealthy
2021-03-25,80.3,163,Unhealthy
2021-03-25,82,164,Unhealthy
2021-03-25,79.9,163,Unhealthy
2021-03-25,78.2,162,Unhealthy
2021-03-25,52.5,142,Unhealthy for Sensitive Groups
2021-03-25,75.3,161,Unhealthy
2021-03-25,77.4,162,Unhealthy
2021-03-25,71.5,159,Unhealthy
2021-03-25,69,157,Unhealthy
2021-03-25,45.4,125,Unhealthy for Sensitive Groups
2021-03-25,22.6,73,Moderate
2021-03-25,18.6,64,Moderate
2021-03-25,68.6,157,Unhealthy
2021-03-25,73.2,160,Unhealthy
2021-03-25,68.4,157,Unhealthy
2021-03-25,73.8,160,Unhealthy
2021-03-25,114.9,181,Unhealthy
2021-03-25,117.3,182,Unhealthy
2021-03-25,110.8,179,Unhealthy
2021-03-25,105.4,176,Unhealthy
2021-03-25,103.2,175,Unhealthy
2021-03-25,97.9,172,Unhealthy
2021-03-25,77.3,162,Unhealthy
2021-03-26,55.5,151,Unhealthy
2021-03-26,45.9,126,Unhealthy for Sensitive Groups
2021-03-26,43.3,120,Unhealthy for Sensitive Groups
2021-03-26,57.6,152,Unhealthy
2021-03-26,54.6,148,Unhealthy for Sensitive Groups
2021-03-26,64.1,155,Unhealthy
2021-03-26,63.4,155,Unhealthy
2021-03-26,53.2,144,Unhealthy for Sensitive Groups
2021-03-26,43.7,121,Unhealthy for Sensitive Groups
2021-03-26,24.6,77,Moderate
2021-03-26,18.4,64,Moderate
2021-03-26,14,54,Moderate
2021-03-26,11.8,49,Good
2021-03-26,12.6,52,Moderate
2021-03-26,23.4,74,Moderate
2021-03-26,33.8,96,Moderate
2021-03-26,32.5,93,Moderate
2021-03-26,44,121,Unhealthy for Sensitive Groups
2021-03-26,58,152,Unhealthy
2021-03-26,57.3,151,Unhealthy
2021-03-26,59.2,152,Unhealthy
2021-03-26,59.7,153,Unhealthy
2021-03-26,45.1,124,Unhealthy for Sensitive Groups
2021-03-26,37.6,106,Unhealthy for Sensitive Groups
2021-03-27,36,102,Unhealthy for Sensitive Groups
2021-03-27,27.4,83,Moderate
2021-03-27,30,88,Moderate
2021-03-27,35.1,99,Moderate
2021-03-27,29.5,87,Moderate
2021-03-27,26.9,82,Moderate
2021-03-27,34.9,98,Moderate
2021-03-27,21.8,71,Moderate
2021-03-27,19.2,65,Moderate
2021-03-27,18.1,63,Moderate
2021-03-27,13.4,53,Moderate
2021-03-27,13.1,53,Moderate
2021-03-27,15,57,Moderate
2021-03-27,16,59,Moderate
2021-03-27,14.9,56,Moderate
2021-03-27,14.4,55,Moderate
2021-03-27,15.1,57,Moderate
2021-03-27,12.9,52,Moderate
2021-03-27,17.5,62,Moderate
2021-03-27,19.4,66,Moderate
2021-03-27,22.4,72,Moderate
2021-03-27,22.8,73,Moderate
2021-03-27,25.3,78,Moderate
2021-03-27,26.9,82,Moderate
2021-03-28,27.2,82,Moderate
2021-03-28,26.3,80,Moderate
2021-03-28,26.4,81,Moderate
2021-03-28,24.7,77,Moderate
2021-03-28,23.2,74,Moderate
2021-03-28,22.7,73,Moderate
2021-03-28,24.2,76,Moderate
2021-03-28,20.4,68,Moderate
2021-03-28,19.1,65,Moderate
2021-03-28,18.8,65,Moderate
2021-03-28,18.8,65,Moderate
2021-03-28,16.2,59,Moderate
2021-03-28,10.9,45,Good
2021-03-28,10.1,42,Good
2021-03-28,8.1,33,Good
2021-03-28,33.9,96,Moderate
2021-03-28,14.1,55,Moderate
2021-03-28,9.1,37,Good
2021-03-28,7.7,32,Good
2021-03-28,10.8,45,Good
2021-03-28,15.7,58,Moderate
2021-03-28,25.8,79,Moderate
2021-03-28,49.1,134,Unhealthy for Sensitive Groups
2021-03-28,27.8,84,Moderate
2021-03-29,25.6,79,Moderate
2021-03-29,22.1,72,Moderate
2021-03-29,18.5,64,Moderate
2021-03-29,18.4,64,Moderate
2021-03-29,16.6,60,Moderate
2021-03-29,16.6,60,Moderate
2021-03-29,27.3,82,Moderate
2021-03-29,18.1,63,Moderate
2021-03-29,16.5,60,Moderate
2021-03-29,11.7,48,Good
2021-03-29,12.6,52,Moderate
2021-03-29,15.7,58,Moderate
2021-03-29,27.4,83,Moderate
2021-03-29,31.2,91,Moderate
2021-03-29,32.1,93,Moderate
2021-03-29,34.2,97,Moderate
2021-03-29,33,94,Moderate
2021-03-29,30.7,90,Moderate
2021-03-29,27.9,84,Moderate
2021-03-29,26.4,81,Moderate
2021-03-29,24.5,77,Moderate
2021-03-29,18.7,64,Moderate
2021-03-29,13.9,54,Moderate
2021-03-29,14,54,Moderate
2021-03-30,13.1,53,Moderate
2021-03-30,8.8,36,Good
2021-03-30,9.8,40,Good
2021-03-30,9,37,Good
2021-03-30,9.4,39,Good
2021-03-30,9.1,37,Good
2021-03-30,9.8,40,Good
2021-03-30,10.6,44,Good
